notes,code,observer,survey,depth,year,month,day,exceldate,site,transect,fixed transect,TransectMatchCode,sand,pavement,dead_coral,apalmrub,acervrub,porrub,madrub,rubble,fila_macro,dictyota,crustose,redfilalg,halimeda,Lobophora,flesh-macro,lizalgae,sp_encrust,orsponge,sp_erect,tubesponge,lizsponge,bransoft,feathsoft,sea_fan,encsoft,fire_coral,acpa,acce,poas,poco,popo,pofu,Monliz,moan,maca,agag,agsp,Agliz,decy,sisp,fafr,disp,dila,meme,cona,issi,eufa,mysp,muan,masp,dsto,hecu,maar,stin,scsp,ocul,clar,sosp,anemcolon,anemsol,Zoanthids,correl,urchin,tubeworm,oyster,hydrozoan,crinoid,other,diadema_count,% COVER TO THE RIGHT OF HERE,TOTAL#pts.,livecoral_all_cover,deadcoral_cover,acpa_cover,acce_cover,poas_cover,poco_cover,popo_cover,moan_cover,maca_cover,sand_cover,pavement_cover,sponge_all_cover,bransoft_cover,feathsoft_cover,fansoft_cover,rubble,algae_all_cover,fila_macro_cover,flesh_macro_cover,crustose_cover,montast_all_cover,decy_cover,sisp_cover,fafr_cover,disp_cover,meme_cover,cona_cover,issi_cover,eufa_cover,mysp_cover,muan_cover,masp_cover,dsto_cover,lesp_cover,maar_cover,stin_cover,scsp_cover,ocul_cover,clar_cover,sosp_cover,Anemcolon_cover,Anemsol_cover,Zoanthids_cover,agag_cover,Agsp_cover,Pofu_cover,po_branch_cover,po_massive_cover,erect_soft_cover,enc_soft_cover,fire_coral_cover,sponge_erect_cover,sponge_encrusting_cover
,130 ,EK,main,30 ,1995 ,august,26 ,26/8,crab,1 ,n,main-30-1995-august-26-crab-1,5 ,2 ,0 ,0 ,2 ,4 ,0 ,1 ,10 ,5 ,5 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,3 ,0 ,20 ,11 ,10 ,0 ,2 ,0 ,3 ,2 ,1 ,1 ,0 ,0 ,6 ,2 ,1 ,0 ,0 ,0 ,4 ,1 ,2 ,2 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,119 ,24.37,0.00,0.00,2.52,2.52,0.84,0.84,5.04,1.68,4.20,1.68,5.04,16.81,9.24,8.40,5.88,16.81,8.40,4.20,4.20,6.72,0.00,3.36,0.84,3.36,0.00,0.00,0.00,0.84,0.00,0.00,1.68,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.84,0.84,4.20,0.84,0.00,0.00,0.84,3.36,34.45,0.00,1.680672269 ,28.95275757 ,2.521008403 
,131 ,EK,main,30 ,1995 ,august,26 ,26/8,crab,2 ,n,main-30-1995-august-26-crab-2,2 ,0 ,0 ,0 ,3 ,4 ,1 ,0 ,5 ,5 ,6 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,0 ,18 ,6 ,1 ,3 ,2 ,0 ,6 ,5 ,1 ,2 ,0 ,0 ,8 ,0 ,5 ,0 ,0 ,0 ,10 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,4 ,1 ,8 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,120 ,39.17,0.00,0.00,5.00,5.00,0.83,1.67,6.67,0.00,1.67,0.00,2.50,15.00,5.00,0.83,6.67,13.33,4.17,4.17,5.00,6.67,0.00,8.33,0.00,1.67,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.83,0.00,0.83,0.00,0.00,0.00,0.00,3.33,0.83,10.00,4.17,0.00,0.00,1.67,5.83,20.83,2.50,1.666666667 ,17.36111111 ,0.833333333 
,132 ,EK,main,30 ,1995 ,august,26 ,26/8,monkey,t,y,main-30-1995-august-26-monkey-t,5 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,14 ,2 ,0 ,20 ,0 ,0 ,0 ,0 ,11 ,0 ,3 ,13 ,0 ,12 ,8 ,1 ,0 ,1 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,4 ,0 ,2 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,115 ,16.52,0.00,0.00,0.00,2.61,0.00,0.00,0.87,0.00,4.35,0.00,23.48,10.43,6.96,0.87,2.61,31.30,29.57,1.74,0.00,0.87,0.00,3.48,0.00,1.74,2.61,0.00,0.00,0.87,0.00,0.00,0.00,0.87,0.00,0.00,0.87,0.87,0.00,0.00,0.00,0.00,0.00,2.61,1.74,0.00,0.00,0.00,2.61,18.26,0.00,0.869565217 ,15.87901701 ,9.565217391 
,133 ,EK,main,30 ,1995 ,august,26 ,26/8,monkey,1 ,n,main-30-1995-august-26-monkey-1,3 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,12 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,9 ,0 ,0 ,15 ,0 ,20 ,10 ,9 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,5 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,117 ,11.97,0.00,0.00,0.00,0.00,0.00,0.00,1.71,0.00,2.56,0.00,20.51,17.09,8.55,7.69,1.71,18.80,18.80,0.00,0.00,1.71,0.00,5.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.56,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,2.56,4.27,0.85,0.00,0.00,0.00,0.00,33.33,1.71,1.709401709 ,28.49002849 ,7.692307692 
,134 ,EK,main,30 ,1995 ,august,26 ,26/8,monkey,2 ,n,main-30-1995-august-26-monkey-2,3 ,0 ,0 ,0 ,0 ,1 ,0 ,7 ,15 ,2 ,0 ,8 ,0 ,0 ,0 ,0 ,7 ,0 ,1 ,12 ,0 ,22 ,11 ,7 ,2 ,2 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,114 ,8.77,0.00,0.00,0.88,0.88,0.00,0.00,0.00,0.00,2.63,0.00,17.54,19.30,9.65,6.14,7.02,21.93,20.18,1.75,0.00,0.00,0.00,4.39,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.00,3.51,0.00,0.00,0.00,0.00,0.88,35.09,1.75,1.754385965 ,30.77870114 ,6.140350877 
,135 ,EK,main,30 ,1995 ,august,27 ,27/8,iguana,t,y,main-30-1995-august-27-iguana-t,0 ,0 ,0 ,0 ,1 ,7 ,0 ,0 ,4 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,0 ,4 ,0 ,3 ,2 ,6 ,1 ,4 ,0 ,0 ,3 ,5 ,6 ,0 ,0 ,9 ,5 ,17 ,0 ,0 ,0 ,9 ,0 ,4 ,2 ,3 ,5 ,0 ,0 ,0 ,0 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,113 ,62.83,0.00,0.00,0.00,7.08,4.42,5.31,7.96,4.42,0.00,0.00,6.19,2.65,1.77,5.31,7.08,6.19,3.54,2.65,0.00,12.39,0.00,7.96,0.00,5.31,2.65,4.42,0.00,0.00,0.00,0.00,0.88,0.00,1.77,0.00,0.00,0.00,0.00,0.00,0.00,1.77,0.00,3.54,15.04,0.00,0.00,5.31,11.50,9.73,0.88,3.539823009 ,8.614613517 ,2.654867257 
,136 ,EK,main,30 ,1995 ,august,27 ,27/8,iguana,1 ,n,main-30-1995-august-27-iguana-1,0 ,0 ,3 ,0 ,0 ,5 ,0 ,1 ,10 ,2 ,2 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,0 ,3 ,0 ,3 ,1 ,3 ,4 ,2 ,0 ,5 ,9 ,5 ,6 ,0 ,0 ,15 ,1 ,9 ,0 ,0 ,1 ,5 ,0 ,2 ,1 ,1 ,6 ,0 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,119 ,58.82,2.52,0.00,4.20,11.76,4.20,5.04,12.61,0.84,0.00,0.00,9.24,2.52,0.84,2.52,5.04,11.76,8.40,1.68,1.68,13.45,0.84,4.20,0.00,2.52,0.84,5.04,0.00,0.84,0.84,0.00,0.84,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.00,1.68,7.56,0.00,0.00,5.04,15.97,5.88,3.36,1.680672269 ,4.943153732 ,6.722689076 
,137 ,EK,main,30 ,1995 ,august,27 ,27/8,iguana,2 ,n,main-30-1995-august-27-iguana-2,3 ,1 ,0 ,0 ,0 ,8 ,1 ,4 ,9 ,6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,3 ,3 ,1 ,3 ,2 ,0 ,0 ,5 ,3 ,3 ,0 ,0 ,10 ,10 ,10 ,0 ,0 ,0 ,10 ,0 ,3 ,3 ,1 ,4 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,116 ,56.03,0.00,0.00,0.00,6.90,2.59,2.59,8.62,8.62,2.59,0.86,3.45,2.59,2.59,0.86,11.21,12.93,7.76,5.17,0.00,17.24,0.00,8.62,0.00,5.17,0.86,3.45,0.00,0.00,0.86,0.00,0.86,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,1.72,8.62,0.00,0.00,2.59,9.48,6.03,2.59,1.724137931 ,5.202140309 ,0 
,138 ,EK,main,30 ,1995 ,august,28 ,28/8,muskN,t,y,main-30-1995-august-28-muskN-t,2 ,0 ,1 ,0 ,4 ,3 ,0 ,1 ,4 ,7 ,1 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,0 ,5 ,0 ,1 ,2 ,0 ,0 ,4 ,3 ,1 ,3 ,0 ,0 ,25 ,10 ,7 ,0 ,0 ,5 ,6 ,0 ,2 ,2 ,2 ,2 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,2 ,2 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,123 ,60.98,0.81,0.00,3.25,3.25,0.81,2.44,20.33,8.13,1.63,0.00,3.25,4.07,0.00,0.81,6.50,9.76,3.25,5.69,0.81,28.46,4.07,4.88,0.00,3.25,1.63,1.63,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.81,0.00,0.00,0.00,1.63,1.63,8.94,5.69,0.00,0.00,2.44,4.07,4.88,1.63,0 ,3.965893317 ,2.43902439 
,139 ,EK,main,30 ,1995 ,august,28 ,28/8,muskN,1 ,n,main-30-1995-august-28-muskN-1,4 ,0 ,0 ,0 ,10 ,5 ,0 ,3 ,9 ,4 ,1 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,2 ,0 ,7 ,1 ,1 ,0 ,2 ,0 ,11 ,6 ,1 ,3 ,0 ,0 ,11 ,10 ,6 ,0 ,0 ,3 ,3 ,0 ,3 ,5 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,123 ,54.47,0.00,0.00,8.94,5.69,0.81,2.44,8.94,8.13,3.25,0.00,3.25,5.69,0.81,0.81,14.63,11.38,7.32,3.25,0.81,17.07,2.44,2.44,0.00,6.50,0.81,2.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,4.07,4.88,0.00,0.00,2.44,6.50,7.32,0.00,1.62601626 ,5.948839976 ,1.62601626 
,140 ,EK,main,30 ,1995 ,august,28 ,28/8,muskN,2 ,n,main-30-1995-august-28-muskN-2,3 ,0 ,0 ,0 ,3 ,4 ,0 ,5 ,15 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,6 ,0 ,5 ,0 ,0 ,1 ,2 ,0 ,6 ,3 ,0 ,5 ,0 ,0 ,25 ,9 ,2 ,0 ,0 ,0 ,3 ,0 ,2 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,118 ,50.85,0.00,0.00,5.08,2.54,0.00,4.24,21.19,7.63,2.54,0.00,7.63,4.24,0.00,0.00,10.17,18.64,12.71,5.93,0.00,28.81,0.00,2.54,0.00,1.69,0.00,2.54,0.00,0.85,0.00,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.69,0.85,1.69,0.00,0.00,4.24,2.54,4.24,0.85,1.694915254 ,3.590922149 ,2.542372881 
,141 ,EK,main,30 ,1995 ,august,28 ,28/8,bigelow,t,y,main-30-1995-august-28-bigelow-t,24 ,0 ,0 ,0 ,11 ,0 ,0 ,5 ,4 ,6 ,2 ,0 ,0 ,0 ,2 ,0 ,6 ,0 ,0 ,8 ,0 ,5 ,5 ,6 ,5 ,2 ,0 ,1 ,5 ,0 ,0 ,0 ,0 ,2 ,2 ,10 ,0 ,0 ,0 ,3 ,1 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,119 ,21.85,0.00,0.00,0.84,4.20,0.00,0.00,1.68,1.68,20.17,0.00,11.76,4.20,4.20,5.04,13.45,11.76,3.36,6.72,1.68,3.36,0.00,2.52,0.84,1.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,8.40,0.00,0.00,0.00,4.20,13.45,4.20,1.680672269 ,11.2986371 ,5.042016807 
,142 ,EK,main,30 ,1995 ,august,28 ,28/8,bigelow,1 ,n,main-30-1995-august-28-bigelow-1,24 ,0 ,0 ,0 ,7 ,4 ,0 ,6 ,5 ,7 ,2 ,0 ,0 ,0 ,1 ,0 ,7 ,0 ,0 ,11 ,0 ,6 ,5 ,3 ,4 ,1 ,0 ,3 ,2 ,1 ,3 ,0 ,0 ,2 ,3 ,3 ,1 ,0 ,0 ,3 ,0 ,1 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,120 ,20.83,0.00,0.00,2.50,2.50,0.83,2.50,1.67,2.50,20.00,0.00,15.00,5.00,4.17,2.50,14.17,12.50,4.17,6.67,1.67,4.17,0.00,2.50,0.00,0.83,0.00,1.67,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,2.50,0.83,0.00,2.50,3.33,11.67,3.33,0.833333333 ,9.722222222 ,5.833333333 
,143 ,EK,main,30 ,1995 ,august,28 ,28/8,bigelow,2 ,n,main-30-1995-august-28-bigelow-2,25 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,4 ,6 ,0 ,0 ,0 ,0 ,3 ,0 ,6 ,0 ,0 ,16 ,0 ,6 ,4 ,6 ,4 ,1 ,0 ,0 ,2 ,0 ,1 ,0 ,0 ,7 ,5 ,3 ,0 ,0 ,0 ,6 ,0 ,2 ,1 ,0 ,2 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,120 ,25.83,0.00,0.00,0.00,1.67,0.00,0.83,5.83,4.17,20.83,0.00,18.33,5.00,3.33,5.00,5.00,10.83,3.33,7.50,0.00,10.00,0.00,5.00,0.00,2.50,0.00,1.67,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.83,2.50,0.00,0.00,0.83,1.67,13.33,3.33,0.833333333 ,11.11111111 ,5 
,144 ,EK,main,30 ,1995 ,august,31 ,31/8,grand,t,y,main-30-1995-august-31-grand-t,0 ,4 ,0 ,0 ,0 ,0 ,0 ,0 ,18 ,12 ,3 ,0 ,0 ,0 ,1 ,0 ,9 ,0 ,0 ,8 ,0 ,6 ,4 ,1 ,3 ,3 ,0 ,0 ,7 ,0 ,1 ,0 ,0 ,1 ,8 ,0 ,0 ,0 ,0 ,2 ,1 ,2 ,3 ,1 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,11 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,115 ,26.96,0.00,0.00,0.00,6.09,0.00,0.87,0.87,6.96,0.00,3.48,14.78,5.22,3.48,0.87,0.00,29.57,15.65,11.30,2.61,7.83,0.00,1.74,0.87,4.35,0.87,2.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.87,0.00,0.00,0.00,0.87,0.00,10.43,0.00,0.00,0.00,0.87,6.09,9.57,2.61,2.608695652 ,8.31758034 ,7.826086957 
,145 ,EK,main,30 ,1995 ,august,31 ,31/8,grand,1 ,n,main-30-1995-august-31-grand-1,2 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,8 ,7 ,0 ,0 ,0 ,1 ,0 ,3 ,0 ,0 ,6 ,0 ,6 ,5 ,1 ,6 ,4 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,2 ,6 ,4 ,0 ,0 ,0 ,2 ,0 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,1 ,0 ,17 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,119 ,25.21,0.00,0.00,0.00,5.88,0.00,0.00,1.68,5.04,1.68,6.72,7.56,5.04,4.20,0.84,0.00,25.21,11.76,7.56,5.88,6.72,0.00,1.68,0.00,6.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.84,0.00,15.13,3.36,0.00,0.00,0.00,5.88,10.08,5.04,3.361344538 ,8.473977826 ,2.521008403 
,146 ,EK,main,30 ,1995 ,august,31 ,31/8,grand,2 ,n,main-30-1995-august-31-grand-2,2 ,11 ,0 ,0 ,0 ,0 ,0 ,2 ,10 ,5 ,4 ,0 ,0 ,0 ,0 ,0 ,5 ,0 ,0 ,8 ,0 ,8 ,6 ,3 ,6 ,4 ,0 ,0 ,6 ,0 ,0 ,0 ,0 ,1 ,6 ,4 ,0 ,0 ,1 ,3 ,0 ,4 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,2 ,1 ,0 ,0 ,0 ,2 ,1 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,118 ,26.27,0.00,0.00,0.00,5.08,0.00,0.00,0.85,5.08,1.69,9.32,11.02,6.78,5.08,2.54,1.69,16.10,8.47,4.24,3.39,5.93,0.85,2.54,0.00,4.24,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.00,0.00,1.69,0.85,0.00,0.00,0.00,1.69,0.85,10.17,3.39,0.00,0.00,0.00,5.08,14.41,5.08,3.389830508 ,12.20913531 ,4.237288136 
,147 ,EK,main,30 ,1995 ,august,31 ,31/8,pelican,t,y,main-30-1995-august-31-pelican-t,0 ,14 ,0 ,0 ,0 ,2 ,0 ,0 ,8 ,21 ,3 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,2 ,6 ,0 ,15 ,8 ,1 ,7 ,2 ,0 ,0 ,2 ,0 ,0 ,0 ,0 ,0 ,2 ,4 ,0 ,0 ,0 ,2 ,2 ,2 ,1 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,120 ,14.17,0.00,0.00,0.00,1.67,0.00,0.00,0.00,1.67,0.00,11.67,10.00,12.50,6.67,0.83,1.67,26.67,6.67,17.50,2.50,1.67,0.00,1.67,1.67,2.50,1.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,6.67,3.33,0.00,0.00,0.00,1.67,20.00,5.83,1.666666667 ,16.66666667 ,3.333333333 
,148 ,EK,main,30 ,1995 ,august,31 ,31/8,pelican,1 ,n,main-30-1995-august-31-pelican-1,0 ,15 ,0 ,0 ,0 ,1 ,0 ,0 ,1 ,12 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,0 ,0 ,4 ,0 ,19 ,12 ,3 ,10 ,3 ,0 ,1 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,1 ,0 ,0 ,3 ,1 ,1 ,3 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,116 ,18.97,0.00,0.00,0.86,6.03,0.00,0.00,0.00,0.00,0.00,12.93,8.62,16.38,10.34,2.59,0.86,11.21,0.86,10.34,0.00,0.00,0.00,2.59,0.86,3.45,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.86,6.03,3.45,0.86,0.00,0.00,6.03,29.31,8.62,2.586206897 ,25.26753864 ,5.172413793 
,149 ,EK,main,30 ,1995 ,august,31 ,31/8,pelican,2 ,n,main-30-1995-august-31-pelican-2,0 ,9 ,0 ,0 ,2 ,0 ,0 ,6 ,2 ,16 ,4 ,0 ,0 ,0 ,2 ,0 ,6 ,0 ,0 ,7 ,0 ,25 ,11 ,1 ,4 ,0 ,0 ,1 ,5 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,120 ,12.50,0.00,0.00,0.83,4.17,0.00,0.00,0.83,0.00,0.00,7.50,10.83,20.83,9.17,0.83,6.67,20.00,1.67,15.00,3.33,0.83,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,8.33,0.83,0.83,0.00,0.00,4.17,30.83,3.33,0 ,25.69444444 ,5 
,150 ,EK,main,30 ,1996 ,october,3 ,3/10,iguana,t,y,main-30-1996-october-3-iguana-t,0 ,0 ,3 ,0 ,0 ,3 ,0 ,0 ,5 ,9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,7 ,13 ,8 ,3 ,3 ,0 ,0 ,3 ,6 ,0 ,7 ,0 ,9 ,6 ,8 ,0 ,0 ,0 ,2 ,0 ,1 ,3 ,0 ,6 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,111 ,47.75,2.70,0.00,0.00,8.11,5.41,6.31,8.11,5.41,0.00,0.00,2.70,6.31,11.71,7.21,2.70,12.61,4.50,8.11,0.00,13.51,0.00,1.80,0.00,3.60,0.00,5.41,0.00,0.00,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,7.21,0.00,6.31,12.61,13.51,25.23,2.70,2.702702703 ,22.72542813 ,0 
,151 ,EK,main,30 ,1996 ,october,3 ,3/10,iguana,1 ,n,main-30-1996-october-3-iguana-1,2 ,0 ,1 ,0 ,2 ,4 ,0 ,0 ,5 ,6 ,2 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,6 ,9 ,4 ,5 ,4 ,0 ,0 ,4 ,4 ,0 ,4 ,0 ,9 ,13 ,6 ,2 ,0 ,0 ,10 ,0 ,2 ,1 ,2 ,0 ,0 ,1 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,,,110 ,53.64,0.91,0.00,0.00,7.27,3.64,3.64,8.18,11.82,1.82,0.00,0.00,5.45,8.18,3.64,5.45,11.82,4.55,5.45,1.82,20.00,0.00,9.09,0.00,2.73,1.82,0.00,0.00,0.91,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.45,1.82,3.64,7.27,10.91,17.27,4.55,3.636363636 ,15.70247934 ,0 
,152 ,EK,main,30 ,1996 ,october,3 ,3/10,iguana,2 ,n,main-30-1996-october-3-iguana-2,2 ,1 ,3 ,0 ,0 ,2 ,0 ,0 ,3 ,7 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4 ,0 ,6 ,9 ,4 ,7 ,3 ,0 ,2 ,5 ,4 ,0 ,6 ,0 ,13 ,0 ,10 ,1 ,0 ,2 ,5 ,0 ,8 ,0 ,2 ,4 ,0 ,1 ,1 ,0 ,0 ,0 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,119 ,54.62,2.52,0.00,1.68,7.56,3.36,5.04,10.92,0.00,1.68,0.84,3.36,5.04,7.56,3.36,1.68,9.24,2.52,5.88,0.84,10.92,1.68,4.20,0.00,6.72,1.68,3.36,0.00,0.84,0.84,0.00,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.84,8.40,0.84,5.04,10.08,10.92,15.97,5.88,2.521008403 ,13.41713156 ,0 
